Company;Year;pos;neg;unc;SR;NFE;ISIN;Date_SRNFE;Date_AR;report_size_SRNFE;report_sentence_SRNFE;report_words_SRNFE;is_gri;report_size_AR;report_sentence_AR;report_words_AR;pfad
linde ag_sr_;2014;167;120;77;1;0;DE0006483001;2015-11-10;fehlt;102;8590;22122;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Linde AG_SR_2014.pdf
linde ag_sr_;2015;168;158;84;1;0;DE0006483001;2016-04-12;fehlt;129;10838;28340;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Linde AG_SR_2015.pdf
linde ag_sr_;2016;167;149;116;1;0;DE0006483001;2017-07-28;fehlt;132;9982;29101;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Linde AG_SR_2016.pdf
linde ag_sr_;2017;213;159;118;1;0;DE0006483001;2018-04-27;fehlt;137;10051;31231;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Linde AG_SR_2017.pdf
lufthansa ag;2018;487;232;161;1;0;DE0008232125;2019-06-05;fehlt;139;4854;47403;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\LUFTHANSA AG2018_SR.pdf
man se_sr_;2010;153;97;60;1;0;DE000A0JQ5U3;2011-04-13;fehlt;59;2449;18101;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MAN SE_SR_2010.pdf
man se_sr_;2011;188;146;119;1;0;DE000A0JQ5U3;2012-03-28;fehlt;76;6705;23813;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MAN SE_SR_2011.pdf
man se_sr_;2012;262;154;128;1;0;DE000A0JQ5U3;2013-05-17;fehlt;86;7236;26961;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MAN SE_SR_2012.pdf
man se_sr_;2013;298;163;146;1;0;DE000A0JQ5U3;2014-04-30;fehlt;90;3315;30656;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MAN SE_SR_2013.pdf
man se_sr_;2014;188;122;78;1;0;DE000A0JQ5U3;2015-06-01;fehlt;71;2459;19671;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MAN SE_SR_2014.pdf
